69311255.01, BOX85032
69436462.01, FRI36294, FRI36294, FRI53518
69436710.01, FRI36134, FRI36289, FRI36294, FRI53518
69436952.01,FRI36289,FRI36294,FRI36317
69437010.01,FRI36289,FRI36294,FRI36317,FRI53518
69437186.01,FRI36294,FRI36294,FRI36317
69437218.01,FRI36289,FRI36294,FRI36294,FRI53518
69437224.01,FRI36134,FRI36294,FRI36317
69437225.01,FRI36289,FRI36294,FRI36317,FRI53518
69437232.01,FRI36134,FRI36317,FRI53518
69437243.01,FRI36134,FRI36289,FRI36294,FRI36317,FRI36317,FRI53518
69437298.01,FRI36289,FRI36317,FRI53518
69437303.01,FRI36289,FRI36294,FRI36317,FRI53518
69437306.01,FRI36289,FRI36294,FRI36317,FRI53518
69501873.01,ZPD30236
69511639.01,GEM14852
69511663.01,GEM14852,KEE16668
69511668.01,DCC028
69511752.01,DCC028,MMM04432
69511916.01,NFG07862,WMW23376
69511986.01,MMM04432
69512148.01,MMM04460
69516927.01,FEU57102,HAR30220,HEC54402,MMM50884,MOR00433,WKR01146
69517320.01,GDV14027,HEC04021
69521804.01,QUA10274
69521884.01,FGM66000
69521908.01,FGM66000
69522223.01,HEC54402
69522224.01,ACG53348,BBD41204,CCC50120,NUU02048,NUU02081,SPT053,SPT70015
69522250.01,CVT16823,FER04906,HEC54402,JAR1506224,KEE20408,PAR070146A25M,SPT70015,TFL01273
69522732.01,KEE20408,QUA010164
69522751.01,QUA10274
69522814.01,CCC50120,GOO11700,JAR1506224,MMM01731,MMM42005,MMM42006,MMM47652,MOR00433,QUA10249,QUA134469,TFL01076,TFL55002,VAM08444
69525342.01,HEC22100
69525361.01,BAR08796
69525612.01,WMW24024
69525665.01,MMM32252
69526138.01,FRI36109,FRI36289,FRI36294,FRI36317,FRI36330
69526139.01,FRI36109,FRI36131,FRI36317
69526142.01,FRI36109,FRI36131,FRI53518
69526146.01,FRI35821,FRI36109,FRI36111,FRI36289
69526150.01,FRI35821,FRI36131,FRI36134,FRI36289,FRI36294,FRI36330,FRI53518
69526155.01,FRI36131,FRI36294,FRI36330
69526158.01,FRI36109,FRI36131,FRI36294,FRI53518
